trial_idx,score,batch_size,partition_strategy,partition_shards,tile_pipeline,total_latency_cycles,compute_cycles,network_cycles,memory_stall_cycles,io_injection_cycles,allreduce_cycles,vc_wait_cycles,buffer_wait_cycles,link_wait_cycles,pipeline_cycles,gateway_noc_hops,gateway_peak_load,network_throughput,network_saturation,pe_type,pe_width,cube_startup_cycles,cube_steady_cycles,noc_topology,noc_routing,noc_flow_control,noc_num_vcs,noc_buffer_depth,now_topology,now_routing,now_flow_control,gateways_per_reticle,gateway_policy,io_distribution_policy
0,-331516.41599999997,4,hybrid_nk,7,False,255995,104514,4896,148824,3942,144491,3208,0,0,698940,216,0,163.9738562091503,0.6552287581699346,cube,16,27,5,flat_butterfly,table_based,wormhole,4,8,flat_butterfly,table_based,credit_vc,8,nearest,round_robin
1,-412824.694,4,col,4,True,277029,325683,9909,259944,4681,58883,48873,0,0,469557,194,0,81.01887173276819,1.0,cube,16,27,5,flat_butterfly,xy,credit_vc,2,16,mesh2d,ugal,credit_vc,4,nearest,nearest
2,-2311436.0560000003,16,streaming,2,False,1777154,2629698,7215,1040472,7638,0,125175,0,0,2311428,956,0,445.0816354816355,1.0,cube,16,27,5,mesh2d,table_based,wormhole,4,16,mesh2d,table_based,credit_vc,8,nearest,nearest
3,-2305306.248,16,k_split,1,False,1778879,2629698,7638,1040472,9363,0,43176,0,0,5434788,1048,0,420.43257397224403,1.0,cube,16,27,5,flat_butterfly,table_based,wormhole,4,8,mesh2d,table_based,wormhole,4,nearest,round_robin
4,-434425.79400000005,4,col,4,True,301987,325683,2535,259944,4681,83841,15304,0,0,444195,194,0,316.69270216962525,1.0,cube,16,27,5,mesh2d,xy,credit_vc,4,8,flat_butterfly,table_based,wormhole,1,load_aware,nearest
5,-1225252.0159999998,4,col,1,False,706038,657474,2334,1034712,3942,0,10694,0,0,416889,216,0,343.9657240788346,1.0,cube,16,27,5,flat_butterfly,xy,credit_vc,2,16,flat_butterfly,table_based,credit_vc,8,load_aware,round_robin
6,-418498.312,4,col,4,False,287662,164418,25536,259944,3449,111358,1743,0,0,844494,212,0,31.43859649122807,0.06825657894736842,cube,16,27,5,flat_butterfly,ugal,wormhole,4,8,flat_butterfly,ugal,wormhole,2,nearest,load_aware
7,-4031241.54,16,row,1,True,3497218,5210163,7140,1040472,7392,0,123075,6,0,2180952,1040,0,449.75686274509803,1.0,cube,16,27,5,flat_butterfly,table_based,wormhole,2,8,flat_butterfly,table_based,credit_vc,2,nearest,load_aware
8,-4024840.056,16,streaming,2,True,3497464,5210163,7368,1040472,7638,0,56115,0,0,7629624,956,0,435.8393051031488,1.0,cube,16,27,5,flat_butterfly,xy,wormhole,4,8,flat_butterfly,ugal,credit_vc,4,load_aware,nearest
9,-2335380.856,16,col,2,False,1777154,2629698,6960,1040472,7638,0,364617,6,0,450396,956,0,461.38850574712643,1.0,cube,16,27,5,torus2d,table_based,wormhole,1,4,flat_butterfly,table_based,wormhole,4,load_aware,nearest
10,-2324657.7399999998,16,block,4,False,1776908,2629698,6951,1040472,7392,0,260331,12,0,729732,1040,0,461.98590130916415,1.0,cube,16,27,5,flat_butterfly,xy,credit_vc,1,8,flat_butterfly,xy,credit_vc,4,nearest,load_aware
11,-1395636.712,4,block,1,True,877150,1302579,4668,1034712,3449,0,4407,0,0,757602,212,0,171.9828620394173,0.9440874035989717,cube,16,27,5,flat_butterfly,table_based,wormhole,4,8,mesh2d,ugal,credit_vc,1,nearest,load_aware
12,-269542.812,4,streaming,7,False,247495,105154,51813,21292,3449,173083,107118,0,0,499713,212,0,15.49448979985718,1.0,cube,16,27,5,torus2d,ugal,wormhole,2,16,mesh2d,ugal,wormhole,2,nearest,load_aware
13,-712560.394,4,block,4,True,451402,648243,10476,518200,4681,18216,11220,0,0,837609,194,0,76.63382970599466,1.0,cube,16,27,5,flat_butterfly,xy,credit_vc,4,4,flat_butterfly,xy,wormhole,8,load_aware,nearest
14,-652541.0939999999,4,k_split,2,False,391345,334914,2477,518072,4681,33633,12231,6,0,469587,194,0,324.10819539765845,1.0,cube,16,27,5,flat_butterfly,table_based,credit_vc,2,4,flat_butterfly,ugal,wormhole,4,load_aware,nearest
15,-347830.39400000003,4,k_split,4,False,216736,173634,2619,259752,4681,31216,2817,3,0,839325,194,0,306.5353188239786,1.0,cube,16,27,5,flat_butterfly,table_based,wormhole,4,4,mesh2d,ugal,credit_vc,4,load_aware,nearest
16,-2303282.7399999998,16,hybrid_nk,2,False,1776908,2629698,7308,1040472,7392,0,46593,0,0,6603036,1040,0,439.4176245210728,1.0,cube,16,27,5,flat_butterfly,table_based,credit_vc,4,16,flat_butterfly,xy,wormhole,1,nearest,load_aware
17,-322303.812,4,col,7,False,235898,95262,8391,149294,3449,134691,110688,0,0,114036,212,0,95.67584316529616,1.0,cube,16,27,5,torus2d,table_based,wormhole,1,8,flat_butterfly,xy,wormhole,2,load_aware,load_aware
18,-2311436.0560000003,16,streaming,1,False,1777154,2629698,7215,1040472,7638,0,125175,0,0,2311428,956,0,445.0816354816355,1.0,cube,16,27,5,mesh2d,xy,credit_vc,4,4,mesh2d,xy,credit_vc,8,load_aware,nearest
19,-4024840.056,16,expert,1,True,3497464,5210163,7368,1040472,7638,0,56115,0,0,7629624,956,0,435.8393051031488,1.0,cube,16,27,5,flat_butterfly,table_based,credit_vc,4,8,mesh2d,table_based,credit_vc,1,load_aware,nearest
20,-1225252.0159999998,4,expert,1,False,706038,657474,2334,1034712,3942,0,10694,0,0,416889,216,0,343.9657240788346,1.0,cube,16,27,5,flat_butterfly,xy,credit_vc,2,16,flat_butterfly,ugal,credit_vc,4,nearest,round_robin
21,-736749.1939999999,4,col,2,True,475491,651315,2477,518200,4681,39233,12218,0,0,469557,194,0,324.10819539765845,1.0,cube,16,27,5,flat_butterfly,xy,wormhole,2,16,flat_butterfly,xy,wormhole,4,load_aware,nearest
22,-1226272.394,4,expert,1,False,706777,657474,3052,1034712,4681,0,12030,0,0,503346,194,0,263.04587155963304,1.0,cube,16,27,5,torus2d,table_based,wormhole,4,16,mesh2d,ugal,credit_vc,2,nearest,nearest
23,-726403.0160000001,4,k_split,2,True,466418,657459,2448,518072,3942,24016,1604,0,0,698940,216,0,327.9477124183006,0.6552287581699346,cube,16,27,5,flat_butterfly,table_based,credit_vc,4,8,flat_butterfly,xy,credit_vc,2,load_aware,round_robin
24,-602919.794,4,hybrid_nk,4,True,470170,334899,1983,259560,4681,242808,20334,0,0,183789,194,0,404.8492183560262,1.0,cube,16,27,5,torus2d,xy,credit_vc,2,16,flat_butterfly,xy,credit_vc,4,nearest,nearest
25,-691635.994,4,block,4,False,430963,325698,82467,518200,4681,55708,6366,0,0,869220,194,0,9.734997029114677,0.07719451416930409,cube,16,27,5,flat_butterfly,ugal,credit_vc,4,8,mesh2d,xy,wormhole,2,load_aware,nearest
26,-281212.11600000004,4,k_split,7,False,204514,105154,3702,149059,3942,92775,13800,0,0,782823,216,0,216.860075634792,1.0,cube,16,27,5,mesh2d,table_based,credit_vc,4,8,flat_butterfly,xy,wormhole,1,load_aware,round_robin
